Months (Yearwise),Apnea,Asthma,Edema,Fatigue,Fibrosis,Hypertension,Obesity,Acidosis,Hyperglycemia,Hyperhomocysteinemia,Esophagitis,Hypercholesterolemia
2004-01,26,72,24,46,42,56,71,8,2,0,3,2
2004-02,25,77,32,51,47,58,83,9,4,0,3,2
2004-03,26,87,28,58,50,57,100,8,4,0,4,2
2004-04,25,84,27,56,50,57,92,8,4,0,2,2
2004-05,24,78,29,52,43,51,83,8,4,0,3,1
2004-06,25,64,29,54,37,48,69,7,3,0,3,1
2004-07,26,58,27,53,32,46,58,7,3,0,3,1
2004-08,25,63,27,53,30,49,57,9,4,0,3,1
2004-09,24,69,27,48,38,53,69,9,4,0,3,1
2004-10,24,74,26,48,42,53,87,8,4,0,4,2
2004-11,24,74,26,45,44,52,94,9,3,0,3,3
2004-12,32,65,23,41,37,46,66,8,3,0,2,2
2005-01,31,67,24,44,39,50,64,7,3,0,3,2
2005-02,28,73,26,48,45,55,82,8,4,0,3,2
2005-03,30,73,26,49,43,52,86,8,4,0,3,2
2005-04,28,74,28,50,46,52,92,8,3,0,3,2
2005-05,25,76,27,52,41,48,77,8,4,0,3,2
2005-06,25,62,29,47,30,45,55,7,3,0,3,1
2005-07,26,54,27,47,27,42,46,8,3,0,3,1
2005-08,26,57,28,48,30,43,48,7,4,0,3,2
2005-09,25,64,26,47,34,45,58,8,4,0,3,1
2005-10,24,68,26,47,37,46,74,9,4,0,2,1
2005-11,26,69,24,42,38,48,78,9,4,0,3,2
2005-12,22,56,22,36,31,42,52,7,3,0,3,1
2006-01,26,63,25,41,34,45,56,7,3,0,3,1
2006-02,25,66,26,44,39,46,66,8,3,0,3,2
2006-03,27,66,26,47,40,48,72,8,4,0,3,2
2006-04,25,63,27,47,35,46,74,8,3,0,3,1
2006-05,24,65,28,47,34,44,69,8,3,0,2,1
2006-06,23,55,28,44,28,39,49,7,3,0,3,1
2006-07,23,48,25,43,25,37,41,7,3,0,3,1
2006-08,24,49,25,44,25,38,43,7,3,0,3,1
2006-09,24,52,25,41,30,39,54,8,3,0,3,1
2006-10,23,57,23,41,33,42,67,8,3,0,3,1
2006-11,22,57,23,41,36,40,67,7,4,0,2,1
2006-12,20,47,20,35,27,35,46,6,3,0,3,1
2007-01,23,53,21,38,29,39,48,7,3,0,3,1
2007-02,23,53,23,40,31,41,56,7,3,0,2,1
2007-03,23,55,23,41,32,42,63,7,3,0,2,1
2007-04,22,58,23,40,30,40,64,8,3,0,3,1
2007-05,22,55,25,42,31,40,59,8,3,0,2,1
2007-06,21,47,24,40,27,34,45,7,3,0,3,1
2007-07,21,43,24,39,24,34,39,7,3,0,2,1
2007-08,21,46,24,39,23,34,41,6,3,0,3,1
2007-09,21,48,24,39,27,36,51,8,3,0,3,1
2007-10,22,53,24,40,32,39,61,8,3,0,3,1
2007-11,20,51,23,37,31,38,64,8,3,0,3,1
2007-12,19,42,20,31,25,32,42,6,3,0,3,1
2008-01,21,47,21,36,27,36,44,6,3,0,3,1
2008-02,22,50,24,39,29,39,52,7,3,0,2,1
2008-03,22,50,24,39,28,38,53,8,3,0,3,1
2008-04,23,53,26,41,32,39,57,8,3,0,3,1
2008-05,20,50,25,39,27,35,46,7,3,0,2,1
2008-06,21,43,24,39,23,31,37,7,3,0,2,1
2008-07,20,40,24,38,21,30,33,6,3,0,2,1
2008-08,21,40,23,38,22,30,31,7,3,0,2,1
2008-09,21,46,24,37,25,33,41,7,3,0,2,1
2008-10,21,48,25,38,28,35,48,8,3,0,2,1
2008-11,20,47,23,37,27,35,50,7,3,0,2,1
2008-12,19,42,19,31,23,30,37,6,3,0,2,1
2009-01,20,44,21,35,24,31,38,6,3,0,2,1
2009-02,20,46,22,38,26,36,44,7,3,0,2,1
2009-03,21,49,24,42,28,37,49,8,3,0,3,1
2009-04,22,51,25,43,28,36,50,8,3,0,2,1
2009-05,21,46,24,43,25,33,41,7,3,0,3,1
2009-06,22,41,24,42,23,30,33,6,3,0,2,1
2009-07,22,40,23,42,20,30,31,6,3,0,2,1
2009-08,24,40,22,41,20,29,30,6,3,0,3,1
2009-09,22,45,23,41,24,32,38,7,3,0,3,1
2009-10,22,51,25,45,26,35,45,7,3,0,3,1
2009-11,21,52,23,41,26,35,49,7,4,0,3,1
2009-12,19,40,19,34,22,29,34,6,3,0,2,1
2010-01,21,42,23,36,22,32,35,6,3,0,3,1
2010-02,23,45,22,39,26,35,46,7,4,0,2,1
2010-03,23,49,24,41,28,37,52,7,4,0,3,1
2010-04,22,49,26,41,27,35,52,8,4,0,3,1
2010-05,21,44,25,39,26,32,44,7,3,0,3,1
2010-06,21,39,24,40,27,29,33,6,3,0,3,1
2010-07,21,37,23,40,25,28,29,6,3,0,3,1
2010-08,21,39,23,41,21,28,28,6,3,0,3,1
2010-09,22,44,24,41,23,31,37,7,3,0,2,1
2010-10,21,45,23,40,26,33,43,8,4,0,2,1
2010-11,21,46,23,38,26,33,45,7,3,0,2,1
2010-12,20,38,19,34,21,27,32,6,3,0,2,1
2011-01,22,43,20,39,23,30,34,6,3,0,2,1
2011-02,21,44,23,42,30,33,41,7,3,0,2,1
2011-03,22,46,24,44,28,33,44,7,4,0,2,1
2011-04,21,46,25,43,25,32,43,8,4,0,2,1
2011-05,22,45,24,43,27,30,38,7,3,0,2,1
2011-06,21,40,24,42,23,28,29,6,3,0,2,1
2011-07,21,37,22,41,21,27,28,6,3,0,2,1
2011-08,22,38,22,41,20,26,25,6,3,0,2,1
2011-09,21,42,23,42,23,29,34,7,3,0,2,1
2011-10,22,43,23,42,24,32,38,7,4,0,3,1
2011-11,21,46,23,41,26,33,41,7,4,0,2,1
2011-12,20,39,19,38,20,27,29,5,3,0,2,1
2012-01,23,43,20,41,23,31,32,6,3,0,2,1
2012-02,24,46,23,43,26,34,38,7,4,0,3,1
2012-03,22,46,24,44,25,33,39,7,4,0,3,1
2012-04,23,46,26,44,25,32,40,7,4,0,3,1
2012-05,23,45,25,45,26,31,38,7,4,0,3,1
2012-06,21,40,23,44,20,27,28,6,3,0,3,1
2012-07,21,40,23,44,19,27,26,6,3,0,3,1
2012-08,22,40,22,44,20,26,25,6,3,0,3,1
2012-09,22,45,24,45,22,31,34,8,4,0,3,1
2012-10,21,45,24,44,25,32,37,7,4,0,2,1
2012-11,20,45,23,41,24,31,36,7,4,0,2,1
2012-12,18,39,19,37,20,26,27,6,3,0,2,1
2013-01,21,43,20,41,24,29,29,6,3,0,2,1
2013-02,21,45,22,44,28,32,35,7,4,0,3,1
2013-03,21,44,23,46,26,32,36,7,4,0,2,1
2013-04,22,47,24,47,26,33,37,8,4,0,2,1
2013-05,21,45,24,45,25,30,32,7,3,0,3,1
2013-06,21,40,23,45,24,27,27,6,3,0,2,1
2013-07,21,39,24,43,20,26,25,6,3,0,2,1
2013-08,21,39,22,44,20,26,23,6,3,0,2,1
2013-09,21,44,24,44,23,29,29,8,3,0,2,1
2013-10,21,46,25,45,26,32,33,8,4,0,2,1
2013-11,21,45,23,42,25,31,35,7,4,0,2,1
2013-12,19,40,20,38,20,26,26,6,3,0,2,1
2014-01,21,43,21,42,23,29,27,6,3,0,2,1
2014-02,21,44,24,46,24,32,32,7,4,0,2,1
2014-03,29,46,25,48,25,31,34,7,4,0,3,1
2014-04,31,48,26,49,26,32,33,8,4,0,2,1
2014-05,28,46,26,47,24,29,30,7,3,0,2,1
2014-06,26,41,25,46,21,27,24,6,3,0,2,1
2014-07,25,40,24,47,20,26,21,6,3,0,2,1
2014-08,24,40,23,45,19,26,21,6,3,0,2,1
2014-09,24,45,25,46,24,30,28,8,3,0,2,1
2014-10,24,46,26,47,25,31,31,8,4,0,3,1
2014-11,21,45,24,45,23,30,32,7,4,0,2,1
2014-12,20,42,21,41,20,26,24,6,3,0,2,1
2015-01,23,44,23,45,23,28,24,6,3,0,2,1
2015-02,23,47,24,50,31,32,29,7,4,0,3,1
2015-03,23,48,26,52,28,33,31,7,4,0,3,1
2015-04,24,49,28,51,26,32,31,8,4,0,3,1
2015-05,23,46,27,49,28,29,28,7,3,0,2,1
2015-06,23,42,26,49,24,28,23,7,3,0,2,1
2015-07,24,40,26,48,21,27,20,6,3,0,3,1
2015-08,25,40,25,47,23,27,20,6,3,0,3,1
2015-09,23,45,28,47,23,31,26,8,4,0,3,1
2015-10,23,48,27,49,24,32,29,8,4,0,3,1
2015-11,22,47,26,47,23,31,29,7,4,0,2,1
2015-12,22,43,23,45,20,28,23,6,4,0,3,1
2016-01,22,44,22,46,21,29,24,6,3,0,2,1
2016-02,24,49,26,52,24,32,29,7,4,0,3,1
2016-03,23,48,27,53,23,33,30,8,4,0,3,1
2016-04,25,49,29,53,24,32,32,8,4,0,3,1
2016-05,23,46,28,51,24,30,28,8,4,0,3,1
2016-06,22,43,28,50,20,28,23,7,3,0,3,1
2016-07,22,40,25,46,18,25,19,6,3,0,3,1
2016-08,23,42,25,47,18,26,19,6,3,0,3,1
2016-09,23,46,28,50,28,30,24,7,4,0,3,1
2016-10,23,47,29,48,22,30,27,8,4,0,3,1
2016-11,23,53,26,47,22,32,28,7,4,0,3,1
2016-12,21,45,23,43,20,27,21,6,3,0,2,1